instructor_id,name,hourly_rate,available_slots
1,Instructor_1,80,1;2;3;4;5;6;9;10;12;13;14;16;17;18;19;20
2,Instructor_2,90,3;4;5;6;7;8;9;10;11;13;14;15;16;17;19;20
3,Instructor_3,100,1;2;3;5;6;8;10;11;12;13;14;15;16;17;19;20
4,Instructor_4,110,1;2;4;5;6;7;8;9;10;11;12;13;16;18;19;20
5,Instructor_5,120,1;2;3;5;6;7;8;9;10;11;12;13;17;18;19;20
6,Instructor_6,130,2;3;4;5;6;8;9;10;11;12;14;16;17;18;19;20
7,Instructor_7,140,1;2;3;4;5;6;8;10;11;12;13;14;15;16;17;18
8,Instructor_8,150,1;2;4;6;7;8;9;10;11;12;13;16;17;18;19;20
9,Instructor_9,160,1;2;3;4;5;6;8;9;10;12;14;16;17;18;19;20
10,Instructor_10,170,1;2;3;4;5;6;8;9;10;13;14;15;16;17;18;19
